2022-08-31,54,97,59
2022-09-01,57,92,56
2022-09-02,57,88,56
2022-09-03,56,96,58
2022-09-04,56,101,59
2022-09-05,58,102,59
2022-09-06,58,99,59
2022-09-07,56,96,52
2022-09-08,52,65,46
2022-09-09,46,59,37
2022-09-10,34,79,47
2022-09-11,44,92,50
2022-09-12,48,88,55
2022-09-13,55,79,53
2022-09-14,52,74,49
2022-09-15,49,75,49
2022-09-16,50,80,48
2022-09-17,49,87,53
2022-09-18,51,92,56
2022-09-19,54,91,56
2022-09-20,53,70,51
2022-09-21,49,68,47
2022-09-22,48,82,45
2022-09-23,45,84,47
2022-09-24,46,78,47
2022-09-25,46,84,50
2022-09-26,48,78,49
2022-09-27,49,82,53
2022-09-28,52,82,52
2022-09-29,51,69,48
2022-09-30,48,71,48
2022-10-01,46,68,47
2022-10-02,49,72,48
2022-10-03,46,72,47
2022-10-04,46,72,47
2022-10-05,46,74,40
2022-10-06,38,61,41
2022-10-07,38,70,43
2022-10-08,42,76,43
2022-10-09,42,77,45
2022-10-10,45,75,41
2022-10-11,39,72,39
2022-10-12,38,71,40
2022-10-13,38,76,40
2022-10-14,42,64,41
2022-10-15,40,63,39
2022-10-16,36,67,37
2022-10-17,36,70,36
2022-10-18,36,78,37
2022-10-19,37,80,42
2022-10-20,40,80,43
2022-10-21,42,77,45
2022-10-22,44,56,31
2022-10-23,29,52,29
2022-10-24,27,60,33
2022-10-25,34,52,32
2022-10-26,31,52,22
2022-10-27,24,59,32
2022-10-28,30,64,34
2022-10-29,33,61,31
2022-10-30,29,67,35
2022-10-31,34,68,40
2022-11-01,39,72,36
2022-11-02,36,47,25
2022-11-03,22,46,25
2022-11-04,25,60,35
2022-11-05,32,57,23
2022-11-06,25,50,31
2022-11-07,32,67,32
2022-11-08,32,65,35
2022-11-09,34,53,19
2022-11-10,19,41,14
2022-11-11,13,49,20
2022-11-12,19,50,21
2022-11-13,19,40,20
2022-11-14,18,41,19
2022-11-15,18,45,22
2022-11-16,20,25,9
2022-11-17,8,26,8
2022-11-18,6,38,11
2022-11-19,10,46,17
2022-11-20,16,48,21
2022-11-21,19,53,21
2022-11-22,20,52,27
2022-11-23,22,46,22
2022-11-24,20,55,25
2022-11-25,26,58,29
